Year,Main Genres,Count
2000,Blues Music,10
2000,Classical Music,18
2000,Country Music,68
2000,Electronic Music,18
2000,Folk Music,19
2000,Hip hop Music,134
2000,Jazz Music,19
2000,Metal Music,127
2000,Pop Music,277
2000,Reggae Music,13
2000,Rock Music,287
2001,Blues Music,8
2001,Classical Music,18
2001,Country Music,51
2001,Electronic Music,17
2001,Folk Music,9
2001,Hip hop Music,119
2001,Jazz Music,6
2001,Metal Music,136
2001,Pop Music,301
2001,Reggae Music,18
2001,Rock Music,303
2002,Blues Music,9
2002,Classical Music,15
2002,Country Music,72
2002,Electronic Music,6
2002,Folk Music,20
2002,Hip hop Music,139
2002,Jazz Music,24
2002,Metal Music,112
2002,Pop Music,340
2002,Reggae Music,32
2002,Rock Music,290
2003,Blues Music,4
2003,Classical Music,6
2003,Country Music,30
2003,Electronic Music,2
2003,Folk Music,8
2003,Hip hop Music,75
2003,Jazz Music,3
2003,Metal Music,80
2003,Pop Music,175
2003,Reggae Music,14
2003,Rock Music,141
2004,Blues Music,6
2004,Classical Music,13
2004,Country Music,58
2004,Electronic Music,4
2004,Folk Music,16
2004,Hip hop Music,157
2004,Jazz Music,20
2004,Metal Music,75
2004,Pop Music,294
2004,Reggae Music,16
2004,Rock Music,202
2005,Blues Music,6
2005,Classical Music,3
2005,Country Music,38
2005,Electronic Music,6
2005,Folk Music,11
2005,Hip hop Music,110
2005,Jazz Music,10
2005,Metal Music,74
2005,Pop Music,227
2005,Reggae Music,26
2005,Rock Music,164
2006,Blues Music,14
2006,Classical Music,3
2006,Country Music,86
2006,Electronic Music,8
2006,Folk Music,30
2006,Hip hop Music,126
2006,Jazz Music,8
2006,Metal Music,139
2006,Pop Music,388
2006,Reggae Music,42
2006,Rock Music,262
2007,Blues Music,8
2007,Classical Music,4
2007,Country Music,49
2007,Electronic Music,3
2007,Folk Music,19
2007,Hip hop Music,109
2007,Jazz Music,9
2007,Metal Music,58
2007,Pop Music,254
2007,Reggae Music,20
2007,Rock Music,192
2008,Blues Music,11
2008,Classical Music,5
2008,Country Music,75
2008,Electronic Music,8
2008,Folk Music,30
2008,Hip hop Music,125
2008,Jazz Music,11
2008,Metal Music,110
2008,Pop Music,428
2008,Reggae Music,29
2008,Rock Music,261
2009,Blues Music,14
2009,Classical Music,6
2009,Country Music,91
2009,Electronic Music,8
2009,Folk Music,46
2009,Hip hop Music,145
2009,Jazz Music,7
2009,Metal Music,80
2009,Pop Music,434
2009,Reggae Music,38
2009,Rock Music,274
2010,Blues Music,11
2010,Classical Music,7
2010,Country Music,100
2010,Electronic Music,5
2010,Folk Music,20
2010,Hip hop Music,184
2010,Jazz Music,4
2010,Metal Music,73
2010,Pop Music,448
2010,Reggae Music,29
2010,Rock Music,232
