Year,Main Genres,Count,Yearly Total,Proportion
2000,Blues Music,10,1299,0.007698229407236336
2000,Classical Music,18,1299,0.013856812933025405
2000,Country Music,68,1299,0.05234795996920708
2000,Electronic Music,18,1299,0.013856812933025405
2000,Folk Music,19,1299,0.014626635873749037
2000,Hip hop Music,134,1299,0.1031562740569669
2000,Jazz Music,19,1299,0.014626635873749037
2000,Metal Music,127,1299,0.09776751347190146
2000,Pop Music,277,1299,0.2132409545804465
2000,Reggae Music,13,1299,0.010007698229407237
2000,Rock Music,287,1299,0.22093918398768284
2001,Blues Music,8,1310,0.0061068702290076335
2001,Classical Music,18,1310,0.013740458015267175
2001,Country Music,51,1310,0.038931297709923665
2001,Electronic Music,17,1310,0.012977099236641221
2001,Folk Music,9,1310,0.006870229007633588
2001,Hip hop Music,119,1310,0.09083969465648854
2001,Jazz Music,6,1310,0.004580152671755725
2001,Metal Music,136,1310,0.10381679389312977
2001,Pop Music,301,1310,0.2297709923664122
2001,Reggae Music,18,1310,0.013740458015267175
2001,Rock Music,303,1310,0.23129770992366414
2002,Blues Music,9,1333,0.006751687921980495
2002,Classical Music,15,1333,0.011252813203300824
2002,Country Music,72,1333,0.05401350337584396
2002,Electronic Music,6,1333,0.00450112528132033
2002,Folk Music,20,1333,0.015003750937734433
2002,Hip hop Music,139,1333,0.10427606901725431
2002,Jazz Music,24,1333,0.01800450112528132
2002,Metal Music,112,1333,0.08402100525131283
2002,Pop Music,340,1333,0.2550637659414854
2002,Reggae Music,32,1333,0.024006001500375095
2002,Rock Music,290,1333,0.2175543885971493
2003,Blues Music,4,598,0.006688963210702341
2003,Classical Music,6,598,0.010033444816053512
2003,Country Music,30,598,0.05016722408026756
2003,Electronic Music,2,598,0.0033444816053511705
2003,Folk Music,8,598,0.013377926421404682
2003,Hip hop Music,75,598,0.1254180602006689
2003,Jazz Music,3,598,0.005016722408026756
2003,Metal Music,80,598,0.13377926421404682
2003,Pop Music,175,598,0.29264214046822745
2003,Reggae Music,14,598,0.023411371237458192
