Song Name,Song ID,Genres,Main Genres
Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']","['Blues Music', 'Rock Music']"
Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",['Hip hop Music']
Numb,2nLtzopw4rPReszdYBJU6h,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",['Rock Music']
In Da Club,4RY96Asd9IefaL3X4LOLZ8,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']","['Hip hop Music', 'Pop Music']"
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,['alternative metal'],[]
Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,"['pop', 'r&b']",['Pop Music']
Toxic,6I9VzXrHxO9rA9A5euc8Ak,"['dance pop', 'pop']",['Pop Music']
Dile,69Ej1xrGjOcHvIMtMKxK0G,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']","['Hip hop Music', 'Reggae Music', 'Pop Music']"
21 Questions,41bIQPBE1lFN0mmw6Lmssz,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']","['Hip hop Music', 'Pop Music']"
Ocean Avenue,23oxJmDc1V9uLUSmN2LIvx,"['alternative metal', 'pop punk', 'post-grunge', 'socal pop punk']",['Pop Music']
I Miss You,1oTo3ijRbaDAtrjJrGAPSw,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']","['Pop Music', 'Rock Music']"
Many Men (Wish Death),2I9foKseoFQh07p6sD2voE,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']","['Hip hop Music', 'Pop Music']"
If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,"['neo soul', 'pop', 'r&b']",['Pop Music']
I Hate Everything About You,0M955bMOoilikPXwKLYpoi,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rock']",['Rock Music']
The Reason,77loZpT5Y5PRP1S451P9Yz,"['alternative metal', 'funk metal', 'nu metal', 'pop rock', 'post-grunge']","['Pop Music', 'Rock Music']"
Faint,4Yf5bqU3NK4kNOypcrLYwU,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",['Rock Music']
Stacy's Mom,27L8sESb3KR79asDUBu8nW,"['pop rock', 'power pop']","['Pop Music', 'Rock Music']"
Pa' Que Retozen,5YJ4BVvTFmVCxUyhKejHfR,"['latin hip hop', 'rap boricua', 'reggaeton', 'trap latino', 'urbano latino']","['Hip hop Music', 'Reggae Music']"
Suga Suga,6Nq5lE0CeOAAAqN4qhkbZU,"['chicano rap', 'latin hip hop', 'pop rap', 'southern hip hop', 'texas latin rap', 'urban contemporary']","['Hip hop Music', 'Pop Music']"
What Was I Thinkin',0r8iDf65NHgFgZOGLwj5r8,"['contemporary country', 'country', 'country road', 'modern country rock']","['Country Music', 'Rock Music']"
Reptilia,57Xjny5yNzAcsxnusKmAfA,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",['Rock Music']
Closing Time,1A5V1sxyCLpKJezp75tUXn,"['pop rock', 'post-grunge']","['Pop Music', 'Rock Music']"
Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,"['garage rock', 'modern rock', 'pop rock']","['Pop Music', 'Rock Music']"
I Stand Alone,44NRdYQw7P0GWuiunRv3hr,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",[]
P.I.M.P.,2D1hlMwWWXpkc3CZJ5U351,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']","['Hip hop Music', 'Pop Music']"
The Way You Move,5z7mYFfhw6N6f23VwrokJD,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",['Hip hop Music']
Where Is The Love?,0xmjwnQ3FNE6HuWCt2nHdZ,"['dance pop', 'pop', 'pop rap']",['Pop Music']
Somewhere I Belong,3agtg0x11wPvLIWkYR39nZ,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",['Rock Music']
