Song Name,Song ID,Genres
Heartless,4EWCNWgDS8707fNSZ1oaA5,"chicago rap, hip hop, rap"
Viva La Vida,1mea3bSkSGXuIRvnydlB5b,"permanent wave, pop"
Chicken Fried,0LQtEJt7x0s6knb6RKdRYc,"contemporary country, country, country road, modern country rock"
"You're Gonna Go Far, Kid",6TfBA04WJ3X1d1wXhaCFVT,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk"
Poker Face,5R8dQOPq8haW94K7mgERlO,"art pop, dance pop, pop"
Sex on Fire,0ntQJM78wzOLVeCUAW7Y45,"modern rock, rock"
Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop"
Kiss Me Thru The Phone,2q4rjDy9WhaN3o9MvDbO21,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap"
Just Dance,2x7MyWybabEz6Y6wvHuwGE,"art pop, dance pop, pop"
Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,"dance pop, miami hip hop, pop, pop rap"
Sextape,1EryAkZ0VHstC6haIxVBiE,"alternative metal, nu metal, rap metal, rock, sacramento indie"
I'm Yours,1EzrEOXmMH3G43AXT1y7pA,"acoustic pop, dance pop, neo mellow, pop"
Mary Jane's Last Dance,3dmqIB2Qxe2XZobw9gXxJ6,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock"
Disturbia,2VOomzT6VavJOGBeySqaMc,"barbadian pop, pop, urban contemporary"
Savior,1vcxF91pWs9uNwDROuiCPB,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk"
Toes,4S518ci8UY4op0Xyp6Hx6o,"contemporary country, country, country road, modern country rock"
Gives You Hell,6ihL9TjfRjadfEePzXXyVF,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge"
Billie Jean,5ChkMS8OtdzJeqyybCc9R5,"r&b, soul"
Whatever You Like,1IAzD1muglOxOcPbUHs70R,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Hot N Cold,1y4eb6hmAvsqlDOl3fx9kk,pop
Paparazzi,7Hqig8kp32q2Ire3ECQvWM,"art pop, dance pop, pop"
Umbrella,2yPoXCs7BSIUrucMdK5PzV,"barbadian pop, pop, urban contemporary"
Miss Independent,34ceTg8ChN5HjrqiIYCn9Q,"dance pop, pop, r&b, urban contemporary"
You Belong With Me,1qrpoAMXodY6895hGKoUpA,pop
Burn It to the Ground,1jq28NGw6wdtFKx8MBPy6C,"alternative metal, canadian rock, post-grunge"
Use Somebody,5VGlqQANWDKJFl0MBG3sg2,"modern rock, rock"
A-Punk,3AydAydLzyyZutA0375XIz,"baroque pop, chamber pop, garage rock, indie rock, indietronica, modern rock"
Forever,6IBcOGPsniK3Pso1wHIhew,"contemporary country, country"
Make You Feel My Love,5FgPwJ7Nh2FVmIXviKl2VF,"british soul, pop, pop soul, uk pop"
So What,0JiY190vktuhSGN6aqJdrt,"dance pop, pop"
American Boy,6etwirSInfuJrSOlogS6Sh,"neo soul, r&b"
I Kissed A Girl,005lwxGU1tms6HGELIcUv9,pop
Decode,1ZLtE9tSJdaUiIJ9YoKHQe,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
In Color,7CNd7rjfVt74TFlcOcnZgN,"country, country road, outlaw country"
Love Story,3CeCwYWvdfXbZLXFhBrbnf,pop
Skinny Love,3B3eOgLJSqPEA0RfboIQVM,"chamber pop, eau claire indie, indie folk, melancholia, modern rock"
A Milli,6ScJMrlpiLfZUGtWp4QIVt,"hip hop, new orleans rap, pop rap, rap, trap"
Alright,3iVcZ5G6tvkXZkZKlMpIUs,"conscious hip hop, hip hop, rap, west coast rap"
Don't Stop The Music,1Jo0Zg7XlrA6z0mFTZVdkn,"barbadian pop, pop, urban contemporary"
Burnin' Up,2VEsmoek0sol9MnJFyoG9e,"boy band, pop"
Addicted,3pxCXv0NACYfYnLjFcQW5D,"alternative metal, nu metal, post-grunge"
Circus,4GL9GMX9t7Qkprvf1YighZ,"hip hop, rap, slap house"
Chasing Pavements,56pHllZT7QOacB0bP56ofx,"british soul, pop, pop soul, uk pop"
Womanizer,4fixebDZAVToLbUCuEloa2,"dance pop, pop"
Second Chance,0CwYG1UnRmOx8Q1EzElCIL,"alternative metal, nu metal, post-grunge"
LoveGame,0TcJ7QWpggdSg8t0fHThHm,"art pop, dance pop, pop"
White Winter Hymnal,0GegHVxeozw3rdjte45Bfx,"chamber pop, folk, indie folk, indie rock, indietronica, modern rock, seattle indie, singer-songwriter, stomp and holler"
Lollipop,4P7VFiaZb3xrXoqGwZXC3J,"hip hop, new orleans rap, pop rap, rap, trap"
Hayloft,2kS6td1yvmpNgZTt1q5pQq,"pov: indie, vancouver indie"
Psychosocial,3RAFcUBrCNaboRXoP3S5t1,"alternative metal, nu metal, rap metal, rock"
A Milli,6ScJMrlpiLfZUGtWp4QIVt,"hip hop, new orleans rap, pop rap, rap, trap"
Whatever It Is,33kKQSeqM2ecEcKF0LNSRT,"contemporary country, country, country road, modern country rock"
People Are Crazy,5JnLiuMgRAWoHYOhatFP3s,"contemporary country, country, country road"
DONTTRUSTME,5jzX4dWVQeBTtfBaXnMRt5,"dance pop, electropowerpop, pop punk, pop rap, post-teen pop"
Poison Tree,6Q5uDNuuFYa8ToL3CCoHPC,"ambient, ambient pop, art pop, dream pop, drone, electra, experimental ambient, experimental pop, modern dream pop, shoegaze, spectra"
Beat It,1OOtq8tRnDM8kG2gqUPjAj,"r&b, soul"
Live Your Life,3jlbL2OTD5YmIunYzgQTAN,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Burning Pile,0zMAvsQmaQ4DGsmXtKixpn,"pov: indie, vancouver indie"
Love in This Club,5j0McHPthKpOXRr3fBq8M0,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Free,5BbdKBZO0TH0GhfxUfyhL9,"atl hip hop, atl trap, rap, trap"
Bad Girlfriend,5m7on0zpnmeAXy72ANrmfU,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge"
Everywhere I Go,1czaCgWLWgqp0eRIZ0BcXh,"alternative metal, modern rock, post-grunge, rap metal, rap rock"
Halo,4JehYebiI9JE8sR8MisGVb,"pop, r&b"
