Year,Track Name,Artist Name(s),artist_popularity,popularity,duration_ms,explicit,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2000,Sparks,Coldplay,87,86,227093,False,2000-07-10,0.748,0.371,0.268,0.0517,1.0,0.104,-10.506,1.0,0.0281,102.617,0.165
2000,Yellow,Coldplay,87,90,266773,False,2000-07-10,0.00239,0.429,0.661,0.000121,11.0,0.234,-7.227,1.0,0.0281,173.372,0.285
2000,The Real Slim Shady,Eminem,89,87,284200,True,2000-05-23,0.0302,0.949,0.661,0.0,5.0,0.0454,-4.244,0.0,0.0572,104.504,0.76
2000,Kryptonite,3 Doors Down,69,81,233933,False,2000,0.00664,0.545,0.865,1.1e-05,11.0,0.168,-5.708,0.0,0.0286,99.009,0.543
2000,Ms. Jackson,Outkast,73,82,270506,True,2000-10-31,0.143,0.843,0.806,0.0,4.0,0.0771,-5.946,0.0,0.269,94.948,0.613
2000,In the End,Linkin Park,84,87,216880,False,2000-10-24,0.00958,0.556,0.864,0.0,3.0,0.209,-5.87,0.0,0.0584,105.143,0.4
2000,Change (In the House of Flies),Deftones,77,79,299533,False,2000-05-16,0.000249,0.269,0.853,0.000246,7.0,0.118,-4.647,0.0,0.0854,141.581,0.179
2000,One Step Closer,Linkin Park,84,81,157333,False,2000-10-24,0.0014,0.492,0.969,1.32e-06,9.0,0.0787,-4.419,1.0,0.0491,95.136,0.538
2000,It's A Great Day To Be Alive,Travis Tritt,63,74,241533,False,2000-10-01,0.246,0.595,0.653,0.0,7.0,0.264,-4.935,1.0,0.0265,128.93,0.542
2000,Stan,"Eminem, Dido",89,82,404106,True,2000-05-23,0.0371,0.78,0.768,2.34e-06,6.0,0.518,-4.325,0.0,0.238,80.063,0.507
2000,Ride Wit Me,"Nelly, City Spud",73,77,291781,True,2000-06-27,0.0616,0.85,0.7,1.8e-06,7.0,0.244,-6.49,1.0,0.0478,101.875,0.722
2000,It Wasn't Me,"Shaggy, Rik Rok",72,80,227600,False,2000-08-08,0.0561,0.853,0.606,0.0,0.0,0.313,-4.596,1.0,0.0713,94.759,0.654
2000,Bye Bye Bye,*NSYNC,69,74,200400,False,2000-03-21,0.031,0.61,0.926,0.0012,8.0,0.0821,-4.843,0.0,0.0479,172.638,0.861
2000,Down with the Sickness,Disturbed,72,77,279213,True,2000-03-07,0.000996,0.695,0.876,6.89e-06,3.0,0.106,-4.262,0.0,0.0553,89.954,0.941
2000,"So Fresh, So Clean",Outkast,73,74,240026,True,2000-10-31,0.0281,0.725,0.64,0.0,5.0,0.099,-7.905,0.0,0.332,166.028,0.915
2000,Oops!...I Did It Again,Britney Spears,79,80,211160,False,2000-05-16,0.3,0.751,0.834,1.77e-05,1.0,0.355,-5.444,0.0,0.0437,95.053,0.894
2000,Crawling,Linkin Park,84,78,208960,False,2000-10-24,0.0466,0.58,0.702,3.2e-06,4.0,0.536,-5.565,1.0,0.0337,105.076,0.299
2000,It's Gonna Be Me,*NSYNC,69,72,192426,False,2000-03-21,0.0407,0.636,0.873,1.27e-06,0.0,0.0372,-4.672,0.0,0.071,165.071,0.908
2000,Me and the Birds,Duster,66,73,95226,False,2000-08-22,0.752,0.475,0.531,0.0634,8.0,0.53,-6.552,0.0,0.0317,119.643,0.223
2000,Rollin' (Air Raid Vehicle),Limp Bizkit,73,78,213760,True,2000-10-17,0.00591,0.603,0.933,0.0,1.0,0.206,-3.358,1.0,0.171,96.306,0.709
2000,Papercut,Linkin Park,84,77,184866,False,2000-10-24,0.00022,0.524,0.939,0.0,9.0,0.623,-3.994,1.0,0.113,150.184,0.661
2000,Country Grammar (Hot Shit),Nelly,73,70,287000,True,2000-06-27,0.00689,0.865,0.664,0.0,2.0,0.142,-6.822,1.0,0.108,162.831,0.565
2000,Angel,"Shaggy, Rayvon",72,77,235133,False,2000-08-08,0.116,0.74,0.766,0.0,6.0,0.0406,-2.939,1.0,0.178,170.531,0.807
2000,Hanging By A Moment,Lifehouse,62,68,216066,False,2000,0.00118,0.541,0.864,0.0,1.0,0.0896,-4.915,1.0,0.0357,124.557,0.435
2000,Red Red Wine,UB40,67,74,183733,False,2000,0.00414,0.857,0.468,1.32e-05,1.0,0.269,-8.53,1.0,0.0476,89.119,0.843
2000,The Way I Am,Eminem,89,74,290426,True,2000-05-23,0.144,0.785,0.871,0.0,4.0,0.309,-2.692,0.0,0.265,87.248,0.315
2000,Dancing in the Moonlight,Toploader,61,79,232693,False,2000,0.0624,0.632,0.856,0.0,10.0,0.347,-3.463,1.0,0.0348,119.397,0.867
2000,Didn't Cha Know,Erykah Badu,66,71,238733,False,2000-10-31,0.48,0.753,0.472,0.0133,3.0,0.284,-9.761,0.0,0.121,135.277,0.816
2000,It's My Life,Bon Jovi,77,81,224493,False,2000-01-01,0.0263,0.551,0.913,1.35e-05,0.0,0.347,-4.063,0.0,0.0466,119.992,0.544
2000,My Way,Limp Bizkit,73,75,272973,True,2000-10-17,0.02,0.576,0.864,1.68e-06,6.0,0.683,-3.981,1.0,0.0462,97.225,0.609
2000,El Amor Soñado,Los Tucanes De Tijuana,75,74,164466,False,2000-11-01,0.222,0.665,0.599,0.0,7.0,0.123,-5.082,1.0,0.0264,142.975,0.629
2000,Follow Me,Uncle Kracker,60,72,218439,True,2000-06-13,0.439,0.817,0.585,0.0,5.0,0.147,-4.688,1.0,0.0301,105.014,0.916
