Year,Track Name,Artist Name(s),artist_popularity,popularity,duration_ms,explicit,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2007,Flashing Lights,"Kanye West, Dwele",90,87,237506,True,2007-09-11,0.0381,0.639,0.628,0,6,0.386,-7.578,0,0.0399,90.482,0.43
2007,505,Arctic Monkeys,85,81,253586,False,2007-04-24,0.00237,0.52,0.852,5.79e-05,0,0.0733,-5.866,1,0.0543,140.267,0.234
2007,I Wonder,Kanye West,90,86,243440,True,2007-09-11,0.141,0.542,0.466,0.000445,0,0.125,-8.665,1,0.0831,191.385,0.124
2007,Misery Business,Paramore,77,76,211520,False,2007-06-11,0.00272,0.517,0.906,9.26e-06,1,0.113,-3.677,1,0.0735,172.977,0.731
2007,Homecoming,"Kanye West, Chris Martin",90,82,203493,True,2007-09-11,0.337,0.667,0.747,0,1,0.115,-7.059,1,0.189,86.917,0.918
2007,Stronger,Kanye West,90,83,311866,True,2007-09-11,0.00564,0.617,0.717,0,10,0.408,-7.858,0,0.153,103.992,0.49
2007,Can't Tell Me Nothing,Kanye West,90,81,271600,True,2007-09-11,0.0122,0.596,0.62,0,5,0.82,-6.133,0,0.039,80.029,0.102
2007,The Way I Are,"Timbaland, Keri Hilson, D.O.E.",77,83,179120,False,2007-01-01,0.181,0.731,0.807,0.751,3,0.319,-6.492,0,0.1,114.759,0.765
2007,Thnks fr th Mmrs,Fall Out Boy,78,80,203506,False,2007-01-01,0.00511,0.459,0.891,0,10,0.106,-5.057,0,0.0623,154.837,0.588
2007,Paralyzer,Finger Eleven,59,76,208106,False,2007-01-01,0.157,0.644,0.939,0,11,0.233,-3.486,0,0.0456,106.031,0.861
2007,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain, Yung Joc",75,77,227960,False,2007-06-05,0.0109,0.693,0.549,0,1,0.0677,-8.141,1,0.119,80.028,0.605
2007,Fake It,Seether,68,76,193893,True,2007-01-01,0.00141,0.611,0.95,1.59e-06,8,0.0543,-3.509,1,0.0518,132.078,0.607
2007,Umbrella,"Rihanna, JAY-Z",88,73,275986,False,2007-01-01,0.00864,0.583,0.829,0,1,0.0426,-4.603,1,0.134,174.028,0.575
